Input,Output
"Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала на табло загорается стрелка соответствующего цвета и направления. Маршрут установлен правильно. Учтено охранное положение стрелок (при их наличии в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, нет потери контроля положения стрелок. Белая полоса на табло по маршруту проходит.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала на табло загорается стрелка соответствующего цвета и направления. Маршрут установлен правильно. Учтено охранное положение стрелок (при их наличии в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, нет потери контроля положения стрелок. Белая полоса на табло по маршруту не проходит.",Не срабатывает схема контрольно-секционных реле. Используя принципиальные схемы найти место разрыва цепи контрольно-секционных реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие поездные или маневровые маршруты.
Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала на табло загорается стрелка соответствующего цвета и направления. Маршрут установлен правильно. Учтено охранное положение стрелок (при их наличии в таблице зависимостей). В маршруте есть ложная занятость рельсовых цепей или есть потеря контроля положения стрелок.,Устранить выявленные неисправности
Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала на табло загорается стрелка соответствующего цвета и направления. Маршрут установлен не правильно. Не учтено охранное положение стрелок (при их наличии в таблице зависимостей).,Требуется правильно установить маршрут
Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка соответствующего цвета и направления на табло не загорается. При нажатии других аналогичных кнопок того же направления стрелка направления на табло загорается.,Неисправна кнопка конкретного сигнала
Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка соответствующего цвета и направления на табло не загорается. При нажатии других аналогичных кнопок того же направления стрелка направления на табло не загорается. При нажатии любых других кнопок соответствующая стрелка загорается.,Неисправна схема конкретного реле направления
Не открывается входной (выходной) или маневровый светофор. При нажатии кнопки данного сигнала стрелка соответствующего цвета и направления на табло не загорается. При нажатии других аналогичных кнопок того же направления стрелка направления на табло не загорается. При нажатии любых других кнопок соответствующая стрелка не загорается.,Отсутствует полюс ТСПБ. Вероятная причина – сгорание предохранителя.
"Входной (выходной) или маневровый светофор не открывается. При нажатии кнопки этого сигнала на табло загорается стрелка нужного цвета и направления. Маршрут установлен корректно. Охранное положение стрелок, если таковые есть в таблице зависимостей, учтено. На маршруте отсутствует ложная занятость рельсовых цепей, а также потеря контроля над положением стрелок. Белая полоса на табло выполняется на маршруте.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или в маневровом режиме не открывается. Когда нажимаешь кнопку данного сигнала, на табло загорается стрелка определённого цвета и направления. Всё правильно установлено в маршруте. Учитывается охранное положение стрелок (если они присутствуют в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и нет утраты контроля положения стрелок. На табло белая полоса по маршруту проходит.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не срабатывает. При нажатии кнопки сигнала стрелка нужного цвета и направления появляется на табло. Маршрут установлен без ошибок. Учитывается охранное положение стрелок (если они есть в таблице зависимостей). В маршруте не наблюдается ложной занятости рельсовых цепей, ни потеря контроля положения стрелок. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
